City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,vadso,70.0744,29.7487,14.49,58,0,5.14,NO,1683983651
95,cidade velha,14.9167,-23.6167,27.26,65,40,4.12,CV,1683983652
96,sevastopol,44.6,33.5333,15.83,64,70,4.8,UA,1683983652
97,nago,26.5881,127.9761,24.14,88,100,4.86,JP,1683983494
98,saldanha,-33.0117,17.9442,17.89,50,0,8.9,ZA,1683983653
99,howrah,22.5892,88.3103,30.0,66,75,2.06,IN,1683983653
100,kita,13.0349,-9.4895,38.28,26,29,2.63,ML,1683983653
101,boguchany,58.3814,97.4531,0.25,52,100,3.98,RU,1683983653
102,petropavlovsk-kamchatsky,53.0452,158.6483,2.1,69,5,4.09,RU,1683983541
103,hadibu,12.65,54.0333,30.65,69,44,1.62,YE,1683983532
104,colonia,50.9333,6.95,23.23,47,20,3.09,DE,1683983428
105,sinjai,-5.1241,120.253,25.03,87,43,1.99,ID,1683983654
106,jamestown,42.097,-79.2353,17.8,65,0,3.6,US,1683983654
107,kodiak,57.79,-152.4072,5.73,87,100,5.14,US,1683983655
108,thompson,55.7435,-97.8558,11.32,41,5,1.88,CA,1683983655
109,sisimiut,66.9395,-53.6735,-1.58,65,82,3.71,GL,1683983655
110,sydney mines,46.2367,-60.2177,11.21,96,100,3.58,CA,1683983656
111,susuman,62.7833,148.1667,-2.76,97,100,2.03,RU,1683983656
112,rabo de peixe,37.8,-25.5833,19.73,73,20,4.63,PT,1683983656
113,tchollire,8.4022,14.1698,36.29,31,100,3.13,CM,1683983657
114,praia da vitoria,38.7333,-27.0667,20.42,87,99,4.55,PT,1683983657
115,ad dawadimi,24.5077,44.3924,37.87,9,69,5.3,SA,1683983657
116,pariaman,-0.619,100.12,29.03,88,39,1.72,ID,1683983657
117,kirawsk,53.2686,29.4736,21.15,39,93,1.92,BY,1683983658
118,gorgan,36.8387,54.4348,24.98,57,75,6.17,IR,1683983658
119,polyarnyy,69.1989,33.4478,6.4,93,98,4.69,RU,1683983533
120,mahemdavad,22.8333,72.7667,42.14,12,0,4.85,IN,1683983658
121,grande prairie,55.1667,-118.8027,12.07,60,35,0.95,CA,1683983460
122,mar del plata,-38.0023,-57.5575,16.72,92,75,2.24,AR,1683983530
123,kuantan,3.8077,103.326,27.63,77,7,2.03,MY,1683983322
124,margaret river,-33.95,115.0667,14.26,73,34,4.13,AU,1683983659
125,lompoc,34.6391,-120.4579,12.1,97,100,0.45,US,1683983659
126,mahenge,-8.6833,36.7167,23.96,64,75,0.79,TZ,1683983660
